X,Words,Point_Mean,Frequency,Point_STD,Price_Mean,Price_STD
141,Here's,88.68965517,58,3.22928973,34.77586207,29.74278217
142,Hill,89.91666667,12,2.712205856,44.66666667,24.26120485
143,Hills,90,18,3.029268986,41.27777778,17.79558952
144,Hints,88.85714286,21,2.920371796,34.95238095,22.62404957
145,Hold,91.36363636,11,2.83805311,80.81818182,53.91811974
146,However,89.4,15,3.978513721,45.26666667,24.27658092
147,If,88.22222222,27,2.224571408,29.7037037,14.91466706
148,Imported,87.13333333,15,2.356349073,24.2,11.25801302
149,In,87.70786517,89,3.053322509,29.93258427,21.7416639
150,Indian,88.88888889,18,2.887883183,42.33333333,27.4226184
151,Intense,90.625,16,2.729468813,59.5,72.61313013
152,It,88.50912779,986,3.026854065,37.18458418,67.71097434
153,It's,88.5532382,911,2.970767457,35.60702525,39.53367343
154,Italian,87.47826087,23,2.591411781,33.2173913,18.18080037
155,Italy,87.80952381,21,2.441701202,28.57142857,19.47195786
156,Its,88.63636364,66,3.175077776,38.75757576,43.29329691
157,Jammy,87,11,3.033150178,27,14.62190138
158,Juicy,88.88888889,27,3.067614123,38.92592593,25.51006728
159,Just,89.23809524,21,3.048028246,30.28571429,22.91973573
160,Keep,90.41666667,12,2.998737108,39.41666667,25.90352146
161,Lemon,86.41666667,12,2.968266508,17.66666667,7.32782162
162,Light,86.85507246,69,2.527934302,23.53623188,13.07397472
163,Lightly,86.3125,16,2.272113554,18.6875,12.47246968
164,Like,87.69230769,13,2.719822769,34.53846154,31.55317043
165,Lively,87.72727273,11,2.284333999,21,12.24744871
166,Long,89.85714286,14,2.178819118,30.42857143,18.25761921
167,Lots,88.57894737,19,3.132549361,32.68421053,17.0914294
168,Made,88.22142857,140,2.78760839,33.12857143,27.68731961
169,Malbec,89.14035088,114,2.834294384,45,38.9980712
170,Marlborough,86.76923077,13,2.006400016,17.38461538,4.925079721
171,Mediterranean,90.22580645,31,2.741163712,35.48387097,22.33811536
172,Medium,87.83333333,24,2.160246899,32.33333333,17.99194667
173,Merlot,88.41338583,254,2.936478012,39.92519685,36.61009055
174,Meyer,90.07142857,28,2.761220495,29.60714286,11.81129179
175,More,89.09090909,11,3.64566991,42.54545455,38.72819034
176,Mountain,91.66666667,18,3.497898529,75.83333333,41.72071005
177,MourvíÂdre,89.89795918,49,2.808060555,38.53061224,24.02524891
178,Nacional,89.27777778,18,2.562295743,22.55555556,17.36874211
179,Named,89.64285714,14,2.9770182,31.07142857,17.65247547
180,Napa,90.27272727,33,2.57721661,59.87878788,37.75393819
181,Nebbiolo,90.69230769,13,3.4733417,52.15384615,35.59458328
182,Nerello,90.45454545,11,2.50454133,46.63636364,24.50825464
183,Nero,87.88888889,27,2.485857433,27.62962963,15.53692413
184,New,88.91666667,24,3.202127916,37.58333333,27.14200445
185,Nice,86.88235294,17,2.057983022,27.47058824,19.78041218
186,Noir,89.05839416,137,3.322752277,40.09489051,20.66429259
187,Not,86.5,46,2.818589088,32.34782609,27.9445621
188,Notes,88.72727273,11,2.240129866,26.81818182,11.17871354
189,Now,88.58333333,12,2.843120352,35.83333333,15.62534848
190,Oak,87.47058824,17,2.348341092,52.76470588,50.74141481
191,On,88.16216216,111,2.801105433,33.0990991,23.2515708
192,One,90,26,2.870540019,45.61538462,30.42377613
193,Oregon,88.2,20,2.566997017,30.2,18.15314965
194,Overall,88.61538462,13,2.631174058,29.23076923,19.13615185
195,Pair,87.19354839,31,1.833382209,24.35483871,14.95671173
196,Paso,87.72727273,11,1.954016842,29.90909091,12.95727244
197,Pepper,89.875,16,2.62995564,44.4375,20.41231246
198,Petit,89.29545455,88,2.983321804,49.15909091,31.82021564
199,Petite,89.08196721,61,3.163832496,35.63934426,13.57698148
200,Pinot,88.61648746,279,3.068735449,35.43369176,19.86650803
201,Pinots,88.92307692,13,3.402487778,61.30769231,30.97683171
202,Pretty,88.52173913,23,2.253675084,35.7826087,26.04882919
203,Produced,88.85,20,2.621269279,48.5,73.13397943
204,Prosecco,85.88461538,26,0.7114449,18.26923077,5.16571538
205,Quite,88.52173913,23,2.502172969,34.47826087,23.91247215
206,Raspberry,88.36363636,11,2.941860883,27,14.70374102
207,Ready,88.14285714,14,1.747840111,33.57142857,17.27031373
208,Red,89.09090909,33,3.116123758,44.18181818,40.99653533
209,RhíÇne,88.5,16,2.449489743,28.375,9.604686356
210,Rich,89.57894737,57,2.419765104,37.21052632,19.39231884
211,Riesling,88.46153846,104,2.610371684,25.21153846,25.78841204
212,Right,89,12,2.662876094,33.83333333,18.32947618
213,Rioja,88.11111111,18,3.007615606,35.44444444,36.44693519
214,Ripasso,87.36363636,11,0.504524979,19.90909091,4.229764661
215,Ripe,89.27272727,77,2.693248692,63.49350649,216.1413173
216,River,91.07692308,13,3.277741561,55.46153846,26.02759876
217,Roasted,88.73333333,15,2.548575699,38.2,25.7715236
218,Round,87.77777778,18,1.957055278,20.61111111,14.14687198
219,Rounded,88.91666667,12,2.234373344,41.08333333,33.01365649
220,Roussanne,87.89473684,19,1.852767805,21.78947368,5.711381885
221,Rubbery,86.08333333,12,2.64431924,20.58333333,12.67394129
222,San,88.72727273,11,1.737291518,26.27272727,8.95646034
223,Sangiovese,88.16455696,79,2.752296848,36.35443038,24.01977709
224,Santa,90.61538462,13,2.364263858,39.15384615,19.90329183
225,Sauvignon,88.54142012,338,3.026058987,45.47337278,125.7344272
226,Scents,89.72727273,11,3.408545411,41.36363636,28.69589771
227,Screwcap,86.58333333,24,3.105628364,16.875,7.531455775
228,Shiraz,90,29,3.070597894,44.72413793,47.26135279
229,Should,90.30769231,13,2.897832966,43.92307692,18.38233544
230,Shows,87.65217391,46,2.975585032,32.43478261,19.27652824
231,Simple,85.06666667,15,1.437590577,16.33333333,6.996597813
232,Sirah,89.23636364,55,3.030484843,35.83636364,13.88946261
233,Slightly,87.14814815,27,2.051335469,25.22222222,14.89277918
234,Smoky,89.8,15,2.366431913,33.66666667,18.88562063
235,Smooth,88.86956522,23,2.49188406,34.91304348,30.26085537
236,So,90.17647059,17,3.244905509,72.23529412,71.30789701
237,Soft,86.44262295,61,2.986216057,33.31147541,40.11879899
238,Solid,89.33333333,15,3.086066999,102.4,303.8911459
239,Some,87.3125,16,2.386594505,25.8125,18.46877996
240,Sonoma,91.54545455,11,3.357488239,51.81818182,28.01720251
241,Sourced,90.53333333,15,3.542933947,46.46666667,28.65525797
242,Spanish,88.38461538,13,2.18091959,20,7.494442385
243,Spice,88.84615385,13,2.73392739,49.15384615,99.56559492
244,Spicy,89.34782609,23,2.569200365,39.2173913,35.76813783
245,Still,88.36666667,30,3.178411372,35.03333333,38.99644841
246,Subtle,89,12,2.730301349,40.75,35.37365481
247,Sweet,86.13043478,23,2.801044413,21.95652174,8.025404328
248,Syrah,89,239,2.686724287,33.76987448,21.0819074
249,Sí©millon,89,31,2.309401077,22.25806452,10.88107759
250,Tannat,88.92307692,13,3.148055973,27.53846154,11.99732876
251,Tannins,88.10526316,19,2.258188479,23.52631579,11.92741204
252,Tart,87.80952381,21,2.462093573,28.04761905,14.4411779
253,Tastes,84.78571429,14,2.750624305,27.07142857,15.3896283
254,Tempranillo,87.88461538,26,2.818892308,32.23076923,17.70719106
255,That,88.28571429,35,2.40796996,31.4,23.98185589
256,The,88.68224299,2247,2.956279934,38.77970628,56.67748644
257,There,88.37931034,145,3.055207225,39.75172414,100.9747996
258,There's,87.91812865,171,2.911290194,33.61988304,23.68249445
259,Thick,88.63636364,11,2.730301349,37,19.71801207
260,This,88.25303995,1727,2.96917551,34.5940938,34.80893437
261,Those,90.23076923,13,3.419401657,40.92307692,20.83451279
262,Though,88.3,20,2.696976865,37.3,24.18807884
263,Tight,90,15,3.625307869,50.46666667,25.24414123
264,Touriga,89.54545455,22,2.923260944,23.13636364,15.91434051
265,Try,87.53846154,26,2.249102385,41.73076923,40.25971455
266,Valley,89.62650602,83,2.805529572,37.4939759,20.59444247
267,Vanilla,89.53846154,13,3.642695536,38.46153846,34.75297442
268,Veltliner,87,11,2.28035085,17.72727273,4.221158824
269,Verdot,89.30952381,84,2.941093111,48.83333333,28.52174539
270,Very,88.91044776,67,2.745416805,36.59701493,30.25650929
271,Vibrant,88.21428571,14,1.888368096,27.57142857,13.72652842
272,Vineyard,90.63157895,38,2.832447634,48.42105263,27.493126
273,Viognier,88.41791045,67,2.786054306,25.79104478,14.94488593
274,Walla,88.52631579,19,2.502630195,29.89473684,11.90655626
275,Washington,88.10526316,19,2.664472782,24.89473684,11.3131916
276,What,91,12,2.335496832,40,31.95166805
277,Whiffs,88.41666667,12,3.579190699,50,99.60102227
278,While,88.15714286,70,3.000655553,34.74285714,35.8138042
279,White,88.27777778,18,2.865731722,23.61111111,17.27336913
280,With,88.57425743,202,2.956892731,32.55940594,23.09441869
281,World,88.5,12,2.430862174,34.66666667,22.14141875
282,You,89.25,24,2.801397167,41.08333333,25.29464055
283,You'll,88.15,20,2.960707597,37.1,30.09965903
284,Young,89.27272727,11,2.611164839,46,28.88252067
285,Zin,86.55172414,29,2.653652562,30.96551724,16.97578687
286,Zinfandel,88.62790698,43,2.870401132,35.74418605,19.56806561
287,about,88.43548387,62,3.414630853,35.82258065,29.91053556
288,above,89.94444444,18,3.588744205,40.88888889,30.50533008
289,abundant,87.15384615,13,2.303842943,25.30769231,11.88405525
290,acacia,88.66666667,15,2.581988897,32.2,16.62270392
291,accent,89.06382979,47,2.729900901,29.46808511,22.2259651
292,accented,89.60869565,69,2.707383104,35.26086957,22.64927747
293,accents,89.08219178,73,2.675783502,36.15068493,25.04200429
294,accessible,88.94594595,37,1.985306385,32.27027027,17.68183099
295,acid,87.94594595,37,2.717698638,28.21621622,16.82612904
296,acidic,86.86666667,60,3.06133164,29.68333333,31.57315512
297,acidity,88.4455516,1405,3.002739098,35.05836299,68.45802265
298,acids,88.04444444,90,2.93721228,32.92222222,30.0015834
299,across,88.46,50,2.858642464,33.58,22.75431334
300,add,89.26666667,60,2.833615805,41.75,47.02960661
301,added,89.36363636,22,3.45784759,35,29.72092417
302,adding,88.65217391,23,3.171014974,55.60869565,126.1869966
303,addition,89.24,25,2.681417536,41.2,36.9368831
304,additional,89.23076923,26,3.191334421,50.88461538,40.09421596
305,adds,88.69444444,72,2.592724864,27.80555556,17.80302149
306,affordable,86.83333333,12,2.757908738,17.16666667,7.196379561
307,after,90.10948905,137,3.121742613,46.59124088,29.82314408
308,aftertaste,87.40869565,115,3.022998547,34.07826087,70.90494599
309,again,89.58333333,12,3.449857265,37.75,41.1297835
310,against,89.11320755,53,2.743246093,48.86792453,104.5087478
311,age,90.32446809,188,2.933494063,47.35106383,37.66648106
312,aged,89.49122807,57,3.179863019,46.01754386,44.45482909
313,ager,89,11,2.75680975,48.90909091,36.31929114
314,ageworthy,90.76923077,13,2.166173514,51.92307692,54.14865578
315,aggressive,87.30769231,13,2.358835001,39.23076923,26.45484784
316,aging,89.9744898,196,3.146730048,57.33673469,126.719593
317,air,88.75,16,3.454465709,38.1875,26.25063491
318,airing,88.125,16,3.030401514,25.3125,19.10573649
319,alcohol,87.96503497,143,3.216183959,42.58041958,31.73246718
320,allow,88.82352941,17,2.242635005,33.17647059,22.26610455
321,allspice,90.25,16,3.255764119,44,23.74026116
322,alluring,89.61538462,13,2.785033259,54.38461538,74.59729493
323,almond,87.85714286,105,2.509323275,27,15.9711278
324,almonds,88.91666667,24,2.282574189,29.83333333,15.33018241
325,almost,88.02877698,139,3.002275577,34.34532374,24.88428648
326,along,88.41921397,229,2.930298065,39.03930131,47.34627231
327,alongside,88.61440678,236,2.62387647,37.27542373,23.11903494
328,already,89.95714286,70,3.585137251,50.82857143,47.65941105
329,also,88.71929825,285,3.016120923,42.07368421,113.788435
330,although,87.69354839,62,2.85489921,50.83870968,150.3478146
331,always,89.42307692,26,3.796557145,47.30769231,42.81847193
332,amount,87.42857143,21,2.461126339,25,15.29705854
333,amounts,89.57142857,21,2.461126339,45.19047619,22.97089255
334,ample,88.89473684,38,2.658890987,29.34210526,15.57592792
335,an,88.4904271,679,3.1066794,35.50810015,32.54576323
336,angular,87.21428571,14,1.847183779,31.28571429,23.25586302
337,animal,87.52941176,17,3.124852938,27.70588235,26.11217318
338,anise,90.05813953,86,3.141204906,46.97674419,29.71075335
339,another,89.65454545,55,2.756931882,42.72727273,29.7193381
340,any,88.76666667,30,4.415359815,64.96666667,75.36965608
341,apparent,88.85714286,14,2.851643058,27.28571429,16.34921109
342,appeal,87.47916667,48,2.466710993,33.83333333,23.73016155
343,appealing,88.56862745,51,2.714810505,37.45098039,27.93801262
344,appear,88.75,12,1.864744682,29.41666667,21.6394351
345,appearance,88.84615385,13,3.287505484,34.53846154,23.31885998
346,appellation,90.02222222,45,2.856323836,44,30.85523383
347,appetizing,89.5625,16,2.220172666,26.3125,15.16011763
348,apple,87.82857143,525,2.527169701,24.7752381,16.01713527
349,apples,88.40740741,54,3.074659168,30.92592593,43.56900917
350,approach,88.70588235,17,2.953064211,40.05882353,28.10576139
351,approachable,87.95348837,43,2.034856826,29.79069767,17.7516708
352,apricot,88.45512821,156,2.838316059,29.16025641,33.5842699
353,apricots,88.2,25,3.291402943,45.52,69.47848588
354,apí©ritif,86.81578947,38,2.191571855,19.97368421,14.23449719
355,area,88.30769231,13,2.839736355,32.61538462,31.70052171
356,aroma,87.93103448,58,3.259867982,30.39655172,19.77411001
357,aromas,87.99750468,1603,2.851723751,32.38053649,30.84729285
358,aromatic,88.74736842,95,3.338901657,30.17894737,22.76801552
359,aromatically,88.79166667,24,2.828106859,36.83333333,20.24559354
360,aromatics,89.04,25,3.284813541,30.64,15.19835517
361,around,88.28571429,91,2.864672618,39.46153846,29.50416456
362,as,88.65675676,740,3.161596395,38.16081081,48.8611003
363,aspect,88.15384615,13,2.609155478,26.69230769,13.86473113
364,asphalt,89,22,2.777460299,44.09090909,20.02833491
365,assertive,89.5,28,2.349152724,52.89285714,36.31277633
366,astringency,87.54166667,24,2.873857681,43.95833333,29.09277389
367,astringent,86.55357143,56,2.426517466,43.39285714,53.32189677
368,at,89.11611374,422,3.30022328,39.37203791,30.7174152
369,atop,89,18,3.253956867,50.72222222,48.6280064
370,attractive,87.34265734,143,2.515038977,26.44055944,27.32192598
371,attractively,87.71428571,14,2.812843386,25.28571429,15.63245427
372,austere,89.63636364,33,3.551568156,76.48484848,203.1223648
373,away,87.84848485,33,3.001262361,28.6969697,20.71304669
374,back,88.7761194,67,3.365695459,41.43283582,38.79168291
375,backbone,89.25,40,2.677063067,35.25,20.69652516
376,backdrop,88.05882353,17,3.399826985,25.76470588,18.58941033
377,backed,88.19672131,61,2.515416944,28.19672131,19.47461568
378,background,88.825,40,3.145102012,33.85,22.20019635
379,bacon,89.33333333,39,2.506132829,39.74358974,24.25057563
380,baked,88.93043478,115,2.975696112,40.86086957,43.40949184
381,baking,90.42045455,88,2.919303928,48.77272727,35.8729326
382,balance,89.3671875,256,2.861155926,38.234375,36.07269009
383,balanced,89.36111111,324,3.073279428,43.36419753,117.729514
384,balances,89.89473684,19,3.26419527,48.26315789,62.58047451
385,balancing,89.08333333,24,2.339019986,33.04166667,29.83210871
386,balsamic,90.35,40,2.496664441,50.125,35.4279243
387,banana,87.23333333,30,2.358891226,19.73333333,10.19443166
388,barbecue,86.65,20,2.560324815,27.95,10.88444085
389,bark,87.81818182,11,2.82199156,34.63636364,23.31640078
390,barnyard,87.08333333,12,2.466441431,33.83333333,13.72345923
391,barrel,89.19266055,109,2.590856659,38.05504587,18.81382218
392,barrel-fermented,88.25,12,2.734460226,23.58333333,10.63833833
393,barrels,89.66666667,30,2.963378004,45.56666667,50.94465106
394,based,88.68421053,19,3.682581093,43.05263158,23.84550664
395,basic,85.44680851,47,2.093556477,17.34042553,10.66338024
396,bay,91.47058824,17,2.93933766,57.47058824,46.80026395
397,be,88.5154321,324,3.066306882,36.7037037,30.05184146
398,bean,88.33333333,36,2.75680975,39.05555556,23.34455512
399,beautiful,91.41071429,56,2.97123657,66.30357143,93.82709817
400,beautifully,92.40540541,37,2.543613565,47.56756757,33.83500861
401,because,87.54545455,22,2.4049012,33.45454545,24.05693103
402,become,90.22222222,18,3.191082346,109.0555556,299.4841589
403,beef,88.796875,64,2.9178144,38.75,25.35274945
404,been,88.73809524,42,3.364517316,42.23809524,28.18389916
405,beer,89.30769231,13,3.038218101,41,20.02498439
406,before,88.61363636,88,3.17834562,42.27272727,40.33187817
407,beginning,89.46153846,13,3.430631249,42.69230769,30.9849012
408,behind,87.42105263,19,3.321910252,30.94736842,23.79186062
409,being,89,34,3.181385252,40.23529412,31.00543337
410,bell,86.79411765,34,2.253339767,40.11764706,69.0040687
411,benefit,89,22,3.251373336,51.13636364,33.34708591
412,berries,88.53921569,102,2.519907151,31.88235294,19.57989174
413,berry,88.34052388,649,2.961622903,35.33590139,57.41414381
414,best,89.75,136,3.054444242,44.125,39.71629715
415,better,88.55932203,59,3.030142744,37.84745763,26.84490163
416,between,88.96875,64,2.569471257,36.359375,27.88546142
417,beyond,88.8,25,4.242640687,50.12,44.37841067
418,big,89.22368421,152,2.463501434,38.65789474,28.44190204
419,bit,87.01845018,271,2.330877874,28.43542435,20.34103861
420,bite,87.83333333,36,2.348251629,32.08333333,42.82747783
421,bitter,86.49305556,144,2.580173268,27.61805556,18.91275387
422,bitterness,86.18918919,37,2.675379909,23.7027027,11.45974807
423,black,89.5,1030,2.891208483,45.47378641,67.5833919
424,black-cherry,89.57894737,19,2.008752777,34.68421053,25.76615487
425,black-currant,88.78571429,14,1.928673176,24.07142857,10.65879403
426,black-fruit,88.78571429,42,2.192400559,31.4047619,21.06674587
427,black-plum,91.5,12,2.938769068,48,46.4601491
428,black-skinned,89.16666667,18,2.915475947,42.66666667,31.66924654
429,blackberries,87.98901099,91,3.174532356,42.12087912,30.80470208
430,blackberry,88.92337165,522,2.8246702,41.03831418,37.50759958
431,blackened,89.06666667,15,3.058166273,29.73333333,21.56209196
432,blast,88.0625,16,2.26476636,23.625,11.96035117
433,blend,88.56770833,576,2.881834976,34.44270833,26.10141124
434,blended,88.79310345,29,3.222458138,44.48275862,40.71733633
435,blending,90.46666667,15,2.29492193,43.93333333,29.9200522
436,blends,89.5,32,2.155263624,42.3125,34.28197824
437,block,92.21428571,14,3.0427359,69,37.79906389
438,blocky,87.63636364,11,2.460598597,25.27272727,13.14603293
439,blossom,88.625,72,2.423113467,26.65277778,19.5945952
440,blossoms,88.82352941,17,2.068673915,23,9.069178574
441,blue,90.26,50,2.947222837,46.18,32.27477059
442,blueberries,89.90909091,22,3.530939318,45.54545455,37.51282609
443,blueberry,89.37007874,127,2.948777389,40.73228346,36.36901891
444,boasts,89.25490196,51,2.755671513,30.50980392,22.65071526
445,bodied,88.81666667,120,2.976048176,36.95833333,27.39085164
446,body,88.0915493,142,2.877905389,28.14788732,18.79563371
447,bold,89.59259259,108,2.874434644,38.19444444,24.62369436
448,bolstered,89.18181818,11,2.136266922,31.72727273,10.18912076
449,bone,90.68181818,22,2.714798311,37.40909091,24.07460446
